tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,tweet_created
5.70E+17,neutral,1,,,Virgin America,cairdin,0,2/24/15 11:35
5.70E+17,positive,0.3486,,0,Virgin America,jnardino,0,2/24/15 11:15
5.70E+17,neutral,0.6837,,,Virgin America,yvonnalynn,0,2/24/15 11:15
5.70E+17,negative,1,Bad Flight,0.7033,Virgin America,jnardino,0,2/24/15 11:15
5.70E+17,negative,1,Can't Tell,1,Virgin America,jnardino,0,2/24/15 11:14
5.70E+17,negative,1,Can't Tell,0.6842,Virgin America,jnardino,0,2/24/15 11:14
5.70E+17,positive,0.6745,,0,Virgin America,cjmcginnis,0,2/24/15 11:13
5.70E+17,neutral,0.634,,,Virgin America,pilot,0,2/24/15 11:12
5.70E+17,positive,0.6559,,,Virgin America,dhepburn,0,2/24/15 11:11
5.70E+17,positive,1,,,Virgin America,YupitsTate,0,2/24/15 10:53
5.70E+17,neutral,0.6769,,0,Virgin America,idk_but_youtube,0,2/24/15 10:48
5.70E+17,positive,1,,,Virgin America,HyperCamiLax,0,2/24/15 10:30
5.70E+17,positive,1,,,Virgin America,HyperCamiLax,0,2/24/15 10:30
5.70E+17,positive,0.6451,,,Virgin America,mollanderson,0,2/24/15 10:21
5.70E+17,positive,1,,,Virgin America,sjespers,0,2/24/15 10:15
5.70E+17,negative,0.6842,Late Flight,0.3684,Virgin America,smartwatermelon,0,2/24/15 10:01
5.70E+17,positive,1,,,Virgin America,ItzBrianHunty,0,2/24/15 9:42
5.70E+17,negative,1,Bad Flight,1,Virgin America,heatherovieda,0,2/24/15 9:39
5.70E+17,positive,1,,,Virgin America,thebrandiray,0,2/24/15 9:15
5.70E+17,positive,1,,,Virgin America,JNLpierce,0,2/24/15 9:04
5.70E+17,negative,0.6705,Can't Tell,0.3614,Virgin America,MISSGJ,0,2/24/15 8:55
5.70E+17,positive,1,,,Virgin America,DT_Les,0,2/24/15 8:49
5.70E+17,positive,1,,,Virgin America,ElvinaBeck,0,2/24/15 8:30
5.70E+17,neutral,1,,,Virgin America,rjlynch21086,0,2/24/15 8:27
5.70E+17,negative,1,Customer Service Issue,0.3557,Virgin America,ayeevickiee,0,2/24/15 8:18
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,Leora13,0,2/24/15 7:49
5.70E+17,negative,1,Can't Tell,0.6614,Virgin America,meredithjlynn,0,2/24/15 7:11
5.70E+17,neutral,0.6854,,,Virgin America,AdamSinger,0,2/24/15 5:44
5.70E+17,negative,1,Bad Flight,1,Virgin America,blackjackpro911,0,2/24/15 5:05
5.70E+17,neutral,0.615,,0,Virgin America,TenantsUpstairs,0,2/23/15 23:34
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,jordanpichler,0,2/23/15 22:52
5.70E+17,neutral,1,,,Virgin America,JCervantezzz,0,2/23/15 21:35
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,Cuschoolie1,0,2/23/15 21:10
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,amanduhmccarty,0,2/23/15 20:55
5.70E+17,positive,1,,,Virgin America,NorthTxHomeTeam,0,2/23/15 20:24
5.70E+17,neutral,0.6207,,,Virgin America,miaerolinea,0,2/23/15 18:46
5.70E+17,positive,1,,,Virgin America,Nicsplace,0,2/23/15 18:43
5.70E+17,positive,1,,,Virgin America,Nicsplace,0,2/23/15 18:19
5.70E+17,neutral,0.6791,,0,Virgin America,elisha_malulani,0,2/23/15 17:54
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,DannyDouglass,0,2/23/15 17:41
5.70E+17,positive,0.6639,,,Virgin America,jamesferrandini,0,2/23/15 17:32
5.70E+17,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,will_lenzenjr,0,2/23/15 17:00
5.70E+17,neutral,1,,,Virgin America,GottAmanda,0,2/23/15 16:24
5.70E+17,neutral,0.6578,,0,Virgin America,KGervaise,0,2/23/15 16:20
5.70E+17,neutral,1,,,Virgin America,papamurat,0,2/23/15 16:13
5.70E+17,positive,1,,,Virgin America,arieldaie,0,2/23/15 16:08
5.70E+17,neutral,0.6799,,,Virgin America,vacations7,0,2/23/15 16:04
5.70E+17,positive,1,,,Virgin America,ChelseaPoe666,0,2/23/15 16:01
5.70E+17,neutral,1,,,Virgin America,BobGlavinVO,0,2/23/15 16:01
5.70E+17,neutral,0.6436,,,Virgin America,lisaaiko,0,2/23/15 15:58
5.70E+17,neutral,0.6764,,0,Virgin America,grantbrowne,0,2/23/15 15:55
5.70E+17,positive,0.657,,,Virgin America,joyabsalon,0,2/23/15 15:46
5.70E+17,neutral,1,,,Virgin America,2v,0,2/23/15 15:36
5.70E+17,neutral,0.7118,,0,Virgin America,KSmithFoundHere,0,2/23/15 15:24
5.70E+17,neutral,1,,,Virgin America,papamurat,0,2/23/15 15:19
5.70E+17,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,murphicus,0,2/23/15 15:05
5.70E+17,positive,1,,,Virgin America,VinnieFerra,0,2/23/15 15:04
5.70E+17,positive,0.635,,,Virgin America,KevinDemsi,0,2/23/15 14:40
5.70E+17,neutral,0.7007,,,Virgin America,giffgaffman,0,2/23/15 14:40
5.70E+17,neutral,1,,,Virgin America,HanlonBrothers,0,2/23/15 14:37
5.70E+17,neutral,1,,,Virgin America,emilybg78,0,2/23/15 14:36
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,rachie1126,0,2/23/15 14:35
5.70E+17,neutral,0.6858,,,Virgin America,adawson66,0,2/23/15 14:30
5.70E+17,neutral,1,,,Virgin America,SocialPLC,0,2/23/15 14:26
5.70E+17,positive,1,,,Virgin America,jeffreymace01,0,2/23/15 14:25
5.70E+17,neutral,0.6814,,0,Virgin America,1stcrown,0,2/23/15 14:09
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,onerockgypsy,0,2/23/15 13:46
5.70E+17,negative,1,Late Flight,0.6789,Virgin America,noelduan,0,2/23/15 13:35
5.70E+17,positive,0.6922,,,Virgin America,Travelzoo,0,2/23/15 13:30
5.70E+17,negative,1,Lost Luggage,1,Virgin America,gianagon,0,2/23/15 13:08
5.70E+17,neutral,1,,,Virgin America,bxchen,0,2/23/15 12:47
5.70E+17,neutral,0.6492,,0,Virgin America,seimatrun,0,2/23/15 12:00
5.70E+17,neutral,1,,,Virgin America,jamied7,0,2/23/15 11:56
5.70E+17,negative,1,Flight Attendant Complaints,0.3516,Virgin America,seimatrun,0,2/23/15 11:46
5.70E+17,positive,1,,,Virgin America,mrmichaellay,0,2/23/15 11:32
5.70E+17,positive,1,,,Virgin America,TaylorLumsden,0,2/23/15 11:28
5.70E+17,neutral,1,,,Virgin America,campusmoviefest,0,2/23/15 11:24
5.70E+17,neutral,1,,,Virgin America,TaylorLumsden,0,2/23/15 11:22
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,meme_meng,0,2/23/15 11:02
5.70E+17,neutral,1,,,Virgin America,kyle_romanoff,0,2/23/15 10:58
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,GunsNDip,0,2/23/15 10:56
5.70E+17,positive,1,,,Virgin America,artisticwritr87,0,2/23/15 10:56
5.70E+17,negative,0.6792,Late Flight,0.3477,Virgin America,arieldaie,0,2/23/15 10:54
5.70E+17,negative,1,Can't Tell,1,Virgin America,GunsNDip,0,2/23/15 10:54
5.70E+17,negative,1,Can't Tell,1,Virgin America,GunsNDip,0,2/23/15 10:38
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,jsatk,0,2/23/15 10:29
5.70E+17,neutral,0.6705,,0,Virgin America,serenaklal,0,2/23/15 10:15
5.70E+17,neutral,1,,,Virgin America,openambit1,0,2/23/15 10:09
5.70E+17,neutral,0.6545,,0,Virgin America,cabowine,0,2/23/15 10:04
5.70E+17,negative,1,Can't Tell,0.6513,Virgin America,MaryAnnTaylorT,0,2/23/15 9:57
5.70E+17,neutral,1,,,Virgin America,RamotControl,0,2/23/15 9:45
5.70E+17,neutral,0.6639,,0,Virgin America,losermelon,0,2/23/15 9:35
5.70E+17,negative,1,Cancelled Flight,1,Virgin America,AlisonK33774854,0,2/23/15 9:29
5.70E+17,negative,1,Late Flight,1,Virgin America,GunsNDip,0,2/23/15 9:28
5.70E+17,neutral,0.6765,,0,Virgin America,yazdanagh,0,2/23/15 9:26
5.70E+17,negative,1,Customer Service Issue,0.6863,Virgin America,MerchEngines,0,2/23/15 9:25
5.70E+17,negative,1,Customer Service Issue,0.6771,Virgin America,ColorCartel,0,2/23/15 9:18
5.70E+17,negative,1,Can't Tell,0.659,Virgin America,MustBeSpoken,0,2/23/15 9:11
5.70E+17,negative,1,Flight Booking Problems,0.6714,Virgin America,mattbunk,0,2/23/15 8:29
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,louisjenny,0,2/23/15 8:19
5.70E+17,neutral,1,,,Virgin America,STravelsW,0,2/23/15 8:19
5.70E+17,negative,1,Late Flight,0.6882,Virgin America,GunsNDip,0,2/23/15 8:11
5.70E+17,neutral,1,,,Virgin America,joeyrenagade,0,2/23/15 8:08
5.70E+17,negative,0.6925,Late Flight,0.3521,Virgin America,mrmichaellay,0,2/23/15 8:08
5.70E+17,negative,1,Late Flight,0.3486,Virgin America,GunsNDip,0,2/23/15 7:51
5.70E+17,positive,1,,,Virgin America,TheDuchessSF,0,2/23/15 7:50
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,BeLeather,0,2/23/15 7:40
5.70E+17,negative,1,Flight Booking Problems,0.6366,Virgin America,BeLeather,0,2/23/15 7:40
5.70E+17,neutral,0.6593,,0,Virgin America,drcaseydrake,0,2/23/15 7:28
5.70E+17,positive,0.6823,,0,Virgin America,flyfromWAS,0,2/23/15 6:57
5.70E+17,neutral,1,,,Virgin America,flyfromSEA,0,2/23/15 6:57
5.70E+17,positive,0.6806,,,Virgin America,flyfromNYC,0,2/23/15 6:57
5.70E+17,neutral,0.6529,,,Virgin America,flyfromLAX,0,2/23/15 6:57
5.70E+17,positive,0.678,,,Virgin America,Silvanabfer,0,2/23/15 6:51
5.70E+17,positive,0.3482,,0,Virgin America,AdamJdubs,0,2/23/15 6:07
5.70E+17,negative,1,Late Flight,1,Virgin America,nicholas_v,0,2/23/15 5:15
5.70E+17,positive,1,,,Virgin America,tstashajones,0,2/23/15 3:01
5.70E+17,positive,1,,,Virgin America,SkateMamas,0,2/23/15 0:35
5.70E+17,positive,1,,,Virgin America,dngoo,0,2/23/15 0:21
5.70E+17,positive,1,,,Virgin America,SamBrittenham,0,2/23/15 0:06
5.70E+17,negative,0.6832,Customer Service Issue,0.3773,Virgin America,usagibrian,0,2/22/15 22:39
5.70E+17,negative,1,Flight Booking Problems,0.6767,Virgin America,usagibrian,0,2/22/15 22:11
5.70E+17,negative,1,Customer Service Issue,0.6527,Virgin America,KindofLuke,0,2/22/15 21:56
5.70E+17,positive,1,,,Virgin America,ptbrodie,0,2/22/15 20:23
5.70E+17,positive,1,,,Virgin America,cheryleng,0,2/22/15 17:48
5.70E+17,neutral,1,,,Virgin America,HishamSharaby,0,2/22/15 17:45
5.70E+17,negative,0.6703,Customer Service Issue,0.6703,Virgin America,ChrisFordisHere,0,2/22/15 17:14
5.70E+17,positive,1,,,Virgin America,JKF1897,0,2/22/15 16:18
5.70E+17,neutral,1,,,Virgin America,F6x,0,2/22/15 16:05
