candidate	relevant_yn	sentiment	sentiment_confidence	subject_matter	retweet_count	text	tweet_created	tweet_location	user_timezone
No candidate mentioned	yes	Neutral	0.6578	None of the above	5	RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate	8/7/15 9:54		Quito
Scott Walker	yes	Positive	0.6333	None of the above	26	RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF__	8/7/15 9:54		
No candidate mentioned	yes	Neutral	0.6629	None of the above	27	RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.	8/7/15 9:54		
No candidate mentioned	yes	Positive	1	None of the above	138	RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on __	8/7/15 9:54	Texas	Central Time (US & Canada)
Donald Trump	yes	Positive	0.7045	None of the above	156	RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co__	8/7/15 9:54		Arizona
Ted Cruz	yes	Positive	0.6332	None of the above	228	"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews"	8/7/15 9:54		Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.6761	FOX News or Moderators	17	RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://__	8/7/15 9:54	North Georgia	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	1	None of the above	0	Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate	8/7/15 9:54	New York NY	Eastern Time (US & Canada)
Ben Carson	yes	Negative	0.6889	None of the above	0	"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate"	8/7/15 9:54		Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	0.6778	None of the above	1	RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD	8/7/15 9:54		
Donald Trump	yes	Negative	1	None of the above	0	@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate	8/7/15 9:54	"Peoria, IL"	Central Time (US & Canada)
Mike Huckabee	yes	Positive	1	Foreign Policy	188		8/7/15 9:54	"Fargo, ND"	Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.6957	None of the above	0	Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ	8/7/15 9:54		
Jeb Bush	yes	Neutral	0.6421	Foreign Policy	5	"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9"""	8/7/15 9:54	"Montgomery, AL "	Central Time (US & Canada)
Scott Walker	yes	Positive	1	None of the above	215	RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate	8/7/15 9:54	"San Diego, California"	Pacific Time (US & Canada)
Chris Christie	yes	Negative	1	None of the above	0	Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate	8/7/15 9:54		Central Time (US & Canada)
Donald Trump	yes	Negative	0.6264	Women's Issues (not abortion though)	45	RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.__	8/7/15 9:54		
Donald Trump	yes	Negative	0.6629	FOX News or Moderators	7	RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx	8/7/15 9:54		Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate	8/7/15 9:54		Eastern Time (US & Canada)
Mike Huckabee	yes	Negative	0.6669	LGBT issues	93	"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate"	8/7/15 9:54	NJ	Eastern Time (US & Canada)
Ted Cruz	yes	Positive	1	None of the above	6	"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate"	8/7/15 9:54	"fripp island,sc/ southeast ga"	
Donald Trump	yes	Negative	0.3511	None of the above	2	RT @mchamric: RT _@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr_ѝ	8/7/15 9:54	Conspiracy Theoryland	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	404	RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate	8/7/15 9:54	"Lynnwood, WA"	Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6701	None of the above	415	RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce	8/7/15 9:54	"Vancouver, Canada"	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6989	FOX News or Moderators	93	RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/__	8/7/15 9:54		
Marco Rubio	yes	Negative	1	None of the above	0	"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson."	8/7/15 9:54	"Sydney, New South Wales"	
